name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility
The World's Most Sustainable and Comfortable Bicycle Jersey,successful,3.4919487284561503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Running Shirt w/ Smartphone Pocket and Reflective Material,successful,2.886580246426967,8.0,6.0,9.0,7.0,5.0,6.0,4.0,7.0
Sea Turtle Hat is here! You asked for it. Now wear it out.,successful,1.1128350076076354,4.0,8.0,9.0,6.0,5.0,7.0,8.0,8.0
Folk Music Notebook,successful,2.3690062546015342,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0
Jesse Daniel's Second Album - Produced by Tommy Detamore,successful,1.757727531610146,6.0,8.0,9.0,7.0,6.0,8.0,8.0,9.0
The Super Fun Passover Seder,successful,1.1853497169699378,6.0,8.0,9.0,8.0,4.0,5.0,6.0,7.0
Circus of the Damned,successful,1.7663380162407516,6.0,4.0,7.0,8.0,3.0,2.0,6.0,5.0
"Let's get ""SWEET"" to Country Radio!",successful,1.9730545780449393,2.0,6.0,4.0,1.0,3.0,2.0,8.0,4.0
Michelle Ariane: Bridge the Great Divide-Collaborative Album,successful,1.8236289822578244,6.0,8.0,9.0,7.0,5.0,6.0,4.0,8.0
"Dog Eyes - a book for life, save the dogs",failed,4.986166540211784,8.0,4.0,7.0,3.0,5.0,2.0,6.0,5.0
SOU Poetry Team to CUPSI 2k15,successful,3.068429367792308,6.0,4.0,8.0,2.0,3.0,1.0,6.0,7.0
Support Chuckie Campbell at SXSW,successful,3.216754117372563,6.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0
CAG & Ballet BC: Build a unique art-dance commission,successful,4.857510363432052,6.0,8.0,7.0,5.0,4.0,6.0,3.0,7.0
Southeastern Theater of the Oppressed Training,successful,2.77118814750976,8.0,6.0,9.0,7.0,5.0,4.0,3.0,7.0
Magnesium Dreams - the new album from Emma Hill,successful,0.9743005620081258,6.0,8.0,9.0,7.0,6.0,5.0,4.0,8.0
Brand New Full Length Album from Jessi McNeal,successful,2.1647384555605145,6.0,4.0,8.0,6.0,7.0,5.0,4.0,8.0
Friday Football Tailgate,failed,4.455091895763649,6.0,2.0,8.0,6.0,4.0,3.0,2.0,5.0
Planet Guardians â Enamel Pin Collection,successful,1.1098028872343857,4.0,6.0,8.0,7.0,6.0,5.0,3.0,7.0
Apostate Progeny: A YA Space Fantasy Novel,successful,1.7281068615639772,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Loose Change First Album,failed,1.7880939736837664,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Blues comes to the Wheatbelt,failed,6.674150971113111,6.0,2.0,7.0,4.0,3.0,5.0,4.0,6.0
Photographing the Wild Birds of the Eden Estuary,failed,5.556738506309243,6.0,2.0,8.0,4.0,3.0,5.0,4.0,7.0
Unshaken: The Knock,failed,2.5536972484925204,8.0,6.0,9.0,7.0,5.0,4.0,6.0,8.0
Snuzzywoo,failed,4.309030874138534,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0
The Pumpkin Blues,failed,5.698422979863446,4.0,6.0,8.0,7.0,5.0,6.0,4.0,6.0
NEW Studio Album by Nick Arthur,failed,3.3194975461280096,6.0,4.0,8.0,6.0,5.0,4.0,3.0,7.0
Boys Don't Do That,failed,6.272922007301151,6.0,2.0,8.0,7.0,4.0,3.0,2.0,6.0
Triforce of Power Long Sleeve Shirt,successful,1.0693233980752737,2.0,4.0,6.0,5.0,3.0,2.0,2.0,6.0
â¡ Hello Empress T-shirts â¡ by JGF,successful,2.4715376166259095,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0
Year 1: Renegade â Guardian Angel Academy Special Edition,successful,2.550751329501457,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Stars of the Show,successful,0.4567278088882465,6.0,8.0,9.0,7.0,5.0,4.0,2.0,8.0
"Journey to the Northernmost American City: Barrow, Alaska",failed,2.971607576361679,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Rescue our hearts- Pets are family too,failed,5.838282208025181,6.0,2.0,8.0,6.0,4.0,5.0,6.0,7.0
The Woofpack - Beautiful dog photography,failed,3.3298265766826987,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Blythe Gamble's First Studio Record,failed,3.741020395926088,6.0,8.0,9.0,7.0,4.0,3.0,2.0,8.0
Learning Guitar Video Series,failed,6.100079028718568,6.0,2.0,7.0,4.0,3.0,5.0,8.0,6.0
Wayfinder Project â New Earth Nomads: A Journey of Freedom,failed,9.192558116870922,2.0,1.0,6.0,4.0,2.0,3.0,8.0,4.0
imagINN: A magical hotel where kids explore emotions,failed,5.573182060347905,8.0,6.0,9.0,8.0,7.0,8.0,4.0,8.0
Happy 100th Anniversary Winnie-The-Pooh!,failed,4.695105839804585,6.0,8.0,9.0,6.0,7.0,5.0,4.0,8.0
Bu(n)tter: On the GO!,successful,1.3266018961255555,4.0,6.0,8.0,7.0,5.0,4.0,3.0,6.0
NOMATIC Outset Apparel Collection,successful,6.269612469828582,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
Before Crown and Kingdom Deluxe Limited Edition Hardcover,successful,0.14839301655652726,2.0,8.0,9.0,6.0,4.0,5.0,3.0,7.0
California's Invasive War,failed,4.465000565333862,8.0,6.0,9.0,7.0,8.0,6.0,4.0,7.0
Elephants in America need your voice,failed,6.2812183947041245,6.0,4.0,8.0,6.0,7.0,5.0,4.0,7.0
Red Fall Studio,failed,4.905576307602678,4.0,6.0,7.0,5.0,6.0,8.0,4.0,7.0
Introducing ON! Fire Gourmet Pepper Sauce/Cooking Sauce,successful,1.8976624638578155,6.0,4.0,8.0,7.0,6.0,5.0,3.0,7.0
"Masala Wala Chai: Authentic, Delicious, Divine!",successful,2.983561034680963,6.0,7.0,8.0,8.0,5.0,6.0,4.0,7.0
Noam Easter Bunny,failed,9.395588163223302,4.0,2.0,6.0,5.0,3.0,2.0,8.0,4.0
Blues Gone Cyber - taking Chicago Blues online,failed,8.350899827602344,6.0,4.0,7.0,5.0,3.0,6.0,4.0,7.0
Run With Patience..Run To Europe,failed,8.331745352933273,2.0,1.0,3.0,2.0,1.0,1.0,8.0,4.0
"Michael Vance Trio ""Watertown Red"" Album",failed,6.129527545381768,2.0,1.0,6.0,2.0,1.0,1.0,2.0,4.0
Hu Tao Hoodie + Shirt - Genshin Impact Streetwear Collection,successful,0.8462933406675954,6.0,8.0,9.0,7.0,8.0,6.0,4.0,7.0
Chairman Tiberius Meow Calendar,failed,5.478034602806697,2.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0
Farm Animal Rescues,failed,6.0528230945572385,4.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0
Connecting Heartfires: YA dragon high fantasy duology,successful,0.25848592767874656,2.0,6.0,8.0,4.0,7.0,5.0,3.0,6.0
John Thomas Draper's Debut Blues/Roots CD,failed,7.532923992554713,2.0,1.0,3.0,2.0,1.0,2.0,8.0,4.0
I Didn't Know Her Name Video Production Launch,failed,4.557497251783829,6.0,2.0,8.0,4.0,3.0,2.0,2.0,5.0
"Tom Turner and Slow Burn-(self titled, debut album)",failed,4.624018144823596,4.0,6.0,8.0,5.0,3.0,2.0,2.0,6.0
One Big Hoodie - The ethical giant hoodie for everyone,successful,0.9162576073135398,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0
The Amazing Story of Tony Oliva - A Children's Book,successful,1.551191628772921,8.0,9.0,8.0,6.0,7.0,8.0,4.0,8.0
Beadies | Educational Cartoons,failed,3.476682642444995,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0
PeaceOfMind - Securing Family Memories & Connections,failed,5.6857292000314965,8.0,2.0,9.0,6.0,7.0,5.0,4.0,6.0
Winnie The Pooh & Friends,failed,3.557053953003831,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0
The Mike Vande Band's First CD,failed,2.4762927896074194,2.0,6.0,8.0,4.0,2.0,3.0,4.0,6.0
English Bulldog Calendar,failed,4.267204439834361,2.0,0.0,6.0,4.0,2.0,0.0,1.0,2.0
reConnecting - A Short Film About Family,failed,4.701417533205028,6.0,2.0,8.0,4.0,3.0,2.0,4.0,6.0
Hero Ita Bags by VulpeGalaxy,successful,1.1980509221875035,2.0,4.0,6.0,5.0,4.0,3.0,6.0,5.0
Animals of the World,failed,3.339562325894195,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The John Wayne Dreamer.,failed,3.601071500046581,6.0,4.0,8.0,6.0,4.0,5.0,3.0,7.0
Wild Game Oberservations,failed,8.32265555541661,4.0,2.0,6.0,4.0,3.0,2.0,8.0,4.0
Adventures of Gary,failed,7.968250361804136,2.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0
The Lochlann Feuds Completed Series - Collector's Editions,successful,2.9592815445476726,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Novel: The Soul and the Fangs,successful,2.9546858510629734,2.0,1.0,6.0,4.0,3.0,2.0,8.0,4.0
Gateway Space Opera Book Series,successful,1.2868620421496535,2.0,8.0,6.0,4.0,3.0,2.0,2.0,4.0
Air! The Movie,failed,5.050251120777675,6.0,7.0,8.0,6.0,5.0,4.0,3.0,7.0
FamJam Overland,failed,4.4662973457689645,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Eco Swim Co: A Sustainable Swimwear Brand,successful,5.386768109408244,6.0,4.0,7.0,6.0,3.0,5.0,4.0,6.0
Combining the elegance of leather with casualness!,successful,5.59622271124685,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0
Pet-mail,failed,4.759025791802717,4.0,2.0,6.0,5.0,4.0,3.0,2.0,6.0
Holy Pepperoni - New Live-Action Children's Show,failed,4.139268256149161,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cute Black and Gold Cats Enamel Pin Set,successful,1.6173717503810292,6.0,7.0,8.0,6.0,8.0,7.0,4.0,8.0
Tristan RÃ©hel - Ready-To-Wear Capsule 001,successful,4.046207316075051,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
Velora Organic Jars : The Return,successful,2.1964093249170666,6.0,4.0,8.0,7.0,5.0,6.0,3.0,7.0
Camera To Photograph a Cat,failed,8.05234035062978,2.0,0.0,4.0,2.0,1.0,1.0,9.0,2.0
Puppy Cuddles,failed,6.081363272650537,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0
Capoeira x M:3 by Trankilo,failed,3.9665631602452454,6.0,4.0,8.0,6.0,5.0,7.0,4.0,7.0
The Legacy,successful,2.1780671673645013,4.0,6.0,8.0,6.0,7.0,8.0,4.0,7.0
Velcorian: A new standard for cutting boards,successful,2.0539760199555768,8.0,9.0,9.0,8.0,7.0,6.0,2.0,8.0
Wildlife Awareness,failed,8.050948068723299,8.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0
Dark Reign: Kickstarter Exclusive Illustrated Hardbacks,successful,0.48578405886694154,2.0,6.0,8.0,7.0,4.0,3.0,2.0,6.0
Zack Anderson: La Luz del Infierno,successful,2.236921665768837,4.0,2.0,8.0,6.0,4.0,5.0,3.0,7.0
Academy of the Six :a PNR academia romance hardback foil set,successful,6.737642050251379,2.0,1.0,6.0,4.0,3.0,2.0,8.0,4.0
Pierre's Part,failed,8.273197000998412,2.0,1.0,4.0,2.0,1.0,1.0,8.0,3.0
Cashvilleetc Flagship Store,successful,3.6953029184306674,6.0,4.0,7.0,6.0,5.0,4.0,3.0,6.0
Goblinauts,successful,1.1505372837342365,2.0,6.0,8.0,4.0,3.0,2.0,2.0,6.0
The Collective: A Post Apocalyptic Thriller Special Edition,successful,1.9789090963525025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The Ultimate Surprise Show,failed,8.60814654436613,4.0,2.0,6.0,5.0,3.0,2.0,2.0,4.0
Island of Lost Girls,failed,3.130460859470545,2.0,8.0,6.0,4.0,2.0,3.0,2.0,6.0
Creating fun videos to help kids learn to read,failed,3.883055096297557,6.0,4.0,8.0,6.0,5.0,4.0,4.0,6.0
Xentropa Apparel Accessories,successful,3.284464506680209,6.0,2.0,8.0,6.0,4.0,3.0,2.0,6.0
Magical Sailor Moon Mushrooms Series 2 Enamel Pin Collection,successful,0.32254696359761414,2.0,4.0,8.0,6.0,7.0,5.0,4.0,6.0
The Witchling Trilogy: Limited Edition Fantasy Hardcovers,successful,0.9188053158986587,6.0,8.0,9.0,8.0,7.0,6.0,4.0,7.0
Special Bestiary Edition of the Frith Chronicles [Books 3-4],successful,2.3306715516572227,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0
Kitsune Love Enamel Pins Part 2,successful,1.4818097684949028,6.0,7.0,8.0,6.0,7.0,5.0,4.0,7.0
"Design Your Own Leather Bag: Your Style, Your Way #Upgraded",successful,1.9161609938458768,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
Quickstarter: KeyVoilÃ  - Grab your keys,successful,1.8584643458900107,6.0,7.0,8.0,6.0,5.0,4.0,3.0,7.0
The Original Automatic Swiss Movement Watch,successful,3.122622491464375,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Little Girl Revival Zine Joy, Creativity, & Self-discovery",successful,4.399728912952851,6.0,2.0,8.0,6.0,4.0,5.0,3.0,6.0
'Doctor Who' Challenge Coins: Series 1 Wave 4,successful,0.800898995658611,2.0,6.0,8.0,4.0,5.0,3.0,2.0,6.0
"Windy Wilds 78 Cards, Handmade Tarot Sized 12x7cm/2.7x4.75in",successful,2.085427011672606,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
"Mad Flora: A Free-Spirited, Spirit-Free Amaro",successful,3.3115272102211115,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The Adventures Of Tom McGuire TV Series/Film,failed,3.5332719486857145,6.0,4.0,8.0,7.0,5.0,3.0,2.0,6.0
What the frog?! enamel pins,successful,2.2780136926954384,6.0,4.0,8.0,6.0,7.0,5.0,3.0,7.0
Bring Pixel Peppers' Retro Hot Sauces to Reality!,successful,2.226535661843182,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
THE PRIMAL BIRTH COURSE,failed,2.966745598804029,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Help Hot Box Pretzels Ship Nation Wide!,successful,2.681966609506717,6.0,7.0,8.0,6.0,5.0,7.0,4.0,8.0
Summa Salts Herb and Pepper Infused Salts,successful,2.6794042825959385,4.0,2.0,8.0,6.0,4.0,5.0,3.0,7.0
Silo's Fermentation Factory,successful,2.8671571541093996,8.0,6.0,9.0,7.0,5.0,8.0,4.0,8.0
Honeymoon from Hell: the complete urban fantasy series.,successful,0.6484156350580705,2.0,1.0,8.0,6.0,2.0,1.0,4.0,3.0
'Art of Chaos: The Prologue' | Graphic Novel,successful,1.2726206747217317,4.0,6.0,8.0,5.0,4.0,3.0,2.0,6.0
Adventures With Pappy TV Series,failed,2.977923538007782,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Wisteria Embroidered Hoodie Designed by Tsumomoca,successful,3.288071469547156,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0
Eco-Magical Patented Modular Shoes for Gamechangers,successful,3.487573661289555,6.0,4.0,8.0,7.0,5.0,6.0,3.0,7.0
NAP : The First All Natural Sleep Iced Tea,successful,4.095544608683016,8.0,6.0,9.0,7.0,5.0,8.0,4.0,7.0
Hey Bagel Equipment,successful,4.914358959495829,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Demon Tide,successful,2.142845486675369,6.0,4.0,8.0,6.0,5.0,3.0,4.0,6.0
Rise of the Raidin: Graphic Novel Volume 1,successful,1.0005210891782934,6.0,8.0,9.0,7.0,6.0,5.0,4.0,8.0
TRE AMICHE SUL GHIACCIO by Mathilde Bonetti,failed,9.241912336055922,4.0,2.0,6.0,5.0,3.0,4.0,6.0,5.0
Raising Backyard Chickens Video Course,failed,3.973889633729696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Daddy Cant Dance, Film, rated PG, 1 hr 47mins, Dove Awarded",failed,4.887811571088264,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sydney's Local Organic Deli & Market Expansion!,failed,8.885678115503524,4.0,2.0,6.0,5.0,3.0,4.0,2.0,6.0
Our Orchard,failed,5.52933624341895,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0
ART OF PARTS: A revolutionary new way to make and buy art.,failed,3.7246488948565504,6.0,4.0,8.0,7.0,6.0,5.0,3.0,7.0
Interpreting Words,failed,3.431961717691471,2.0,3.0,4.0,3.0,2.0,3.0,8.0,6.0
100 Days of Hozier: The Gallery,failed,3.310160677845846,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Building Soup: A Manual with Recipes and Techniques,successful,4.105716380924756,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The Forest Underground: Hope for a Planet in Crisis,successful,5.0873565651792685,6.0,2.0,8.0,4.0,3.0,2.0,4.0,6.0
vendingEDUCATION Fundraiser,failed,4.230030733207739,6.0,2.0,8.0,6.0,4.0,3.0,2.0,6.0
Fight Club [Soap] Project for Men & Women,failed,5.710593706433544,6.0,2.0,7.0,4.0,3.0,5.0,4.0,6.0
FILOSOFÃA SALVAJE,successful,3.8699031385976914,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
MERCADO TAMPA // Pop-up Retail Made From Shipping Containers,failed,7.783206606483791,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0
Farmstead Artisan Cheese...White River Creamery,failed,4.269603946450724,9.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0
Catawampus Creations,failed,2.5031040497801027,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Dear Mister Ward: Complaint Letters from the 1930s,successful,2.9958359517090924,6.0,4.0,8.0,6.0,5.0,4.0,4.0,7.0
Holy Cow Body Care,failed,3.250131020067444,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
Fresh Fish Straight Out The Water,failed,5.060376270605,2.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0
Taller Casa Verde,failed,9.061135779087282,6.0,4.0,7.0,5.0,3.0,6.0,4.0,6.0
The Wild West Chilli Co,failed,2.8630542647865562,6.0,4.0,7.0,5.0,6.0,5.0,4.0,7.0
Art Alive,failed,4.902612226734375,8.0,3.0,8.0,7.0,6.0,6.0,2.0,8.0
Hidden Life,failed,6.133134017083586,4.0,2.0,6.0,4.0,3.0,2.0,8.0,6.0
Greek Myths That Inspired Final Fantasy VII,successful,1.240550959981761,8.0,9.0,9.0,8.0,7.0,8.0,2.0,9.0
Discovering Your Personal Daimon,successful,2.871467344520232,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
Hard Earned Lessons Learned,successful,5.071342140669982,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0
CARDSMANIA,successful,3.005793790914928,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Michael van Gerwen Water Funland,failed,7.573460753762291,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
Rialto Bridge Parklet,failed,4.043040466381871,6.0,4.0,8.0,6.0,3.0,2.0,2.0,6.0
Morganic  Organic/Non-GMO Market,failed,8.91091851727402,6.0,2.0,4.0,3.0,2.0,2.0,4.0,5.0
The Honey Dudes | Bees,failed,7.200215500967639,6.0,2.0,7.0,5.0,4.0,3.0,2.0,6.0
Chasing Dreams...,failed,4.938958306597638,2.0,1.0,6.0,4.0,1.0,1.0,2.0,4.0
Portraits in paint,failed,5.594759320355484,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
DNA of Masterpieces,failed,9.548907043090981,2.0,1.0,3.0,2.0,1.0,1.0,9.0,2.0
tattoo to airbrush,failed,7.175315619760873,4.0,2.0,6.0,4.0,3.0,5.0,6.0,5.0
To Catch the Sun ð,successful,3.1125813807829195,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
cupcakes from the heart,failed,6.6285524123392525,4.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0
Nick and Nick's Kettle Corn,failed,4.852959055904372,4.0,2.0,6.0,3.0,2.0,2.0,8.0,4.0
Fresh Fit Foodies: home office kitchen unit,failed,6.074579808849558,6.0,2.0,7.0,5.0,4.0,3.0,6.0,4.0
Running Mount Rainier,successful,1.0695973223151567,6.0,8.0,9.0,7.0,5.0,6.0,4.0,8.0
The Preppy Lion: A Guide to LaTeX for Authors,successful,1.3694402855463028,8.0,6.0,9.0,7.0,8.0,5.0,4.0,8.0
Frigjorda tider â en bok av (och fÃ¶r) SnedtÃ¤nkt-stammisar,successful,4.809338394842172,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The Great Escape: The No-BS Guide to Evacuation and Survival,successful,1.8644494239742082,8.0,6.0,9.0,8.0,7.0,6.0,4.0,8.0
"Sucker Creations that are organic, vegan and Gluten free",failed,7.206763370707867,6.0,4.0,7.0,5.0,3.0,6.0,2.0,5.0
Ousmane Mane  in Ziguinchor Senegal,failed,7.6282813537174246,4.0,2.0,6.0,4.0,2.0,4.0,8.0,4.0
Mavra's Greek Olive Oil - Help Us Keep up with the DEMAND,failed,7.540779820477437,6.0,8.0,4.0,2.0,3.0,5.0,4.0,6.0
Planting an Orchard,failed,7.26452350781493,6.0,4.0,7.0,5.0,3.0,6.0,4.0,7.0
Graffiti is Change,failed,6.346928394124216,4.0,2.0,6.0,4.0,3.0,2.0,8.0,5.0
Yorkshire Air,failed,7.83782392527745,2.0,0.0,3.0,2.0,0.0,0.0,9.0,2.0
Sexton For God: How Dave Sexton Brought Cup Glory To Chelsea,successful,2.977923538007782,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
The Bible & LGBTQ Adventists,successful,1.0796437483015353,8.0,9.0,9.0,8.0,6.0,7.0,8.0,9.0
The Farmer's Specialty Meats Market,failed,8.824231003034955,4.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0
The Vermont Sugarbush,failed,5.343561416077387,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0
"To Ze Noodle, And Beyond!",failed,6.643500634537252,2.0,0.0,4.0,2.0,1.0,1.0,9.0,2.0
WYLIE'S Fresh Local Seafood - Seafood for the Ojai Market,failed,6.713570139094487,6.0,4.0,7.0,5.0,3.0,4.0,2.0,6.0
*foreverNOLA,successful,2.672852708442198,6.0,4.0,8.0,6.0,5.0,3.0,2.0,7.0
Storytelling Couture: Maasai and Samburu Women of E. Africa,failed,3.353922626338126,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"INTRODUCING: PAUL'S GREEN BARN 19thCENTURY ""ARTISAN'S SERIES",failed,4.611285213978769,4.0,6.0,8.0,9.0,5.0,7.0,4.0,6.0
Jo Jo Love Gourmet Rice Krispies Treats,failed,5.812034325562578,4.0,2.0,6.0,4.0,3.0,5.0,2.0,4.0
Puppie O's All Natural Dog Treats,failed,2.130461115647578,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0
The Long Way Home,successful,4.2733791393884015,4.0,2.0,6.0,3.0,5.0,2.0,8.0,7.0
ARTBYPEKOE  KAHLO,failed,4.901753418825992,6.0,4.0,7.0,6.0,5.0,4.0,3.0,6.0
Ode to Order,failed,1.8203033372298616,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Oliver's Kitchen - Award winning puddings made with love!,failed,8.44469786238303,6.0,4.0,7.0,5.0,3.0,6.0,4.0,7.0
TAKE THIS WAR AND SHOVE IT!,successful,2.650360522640259,8.0,6.0,7.0,6.0,7.0,6.0,4.0,8.0
Cloudie Guardians Art Collection,failed,7.639594830951191,2.0,6.0,4.0,3.0,2.0,1.0,8.0,4.0
Lockdown Diaries of the Working Class (UK),successful,3.1842333881763443,8.0,4.0,9.0,6.0,5.0,7.0,3.0,8.0
Pixel Perfect: Punch-Out!! (NES Hardcover Book),successful,1.3943957466771417,6.0,8.0,9.0,7.0,6.0,8.0,4.0,8.0
CUTTIX Pocket Knife - Cutting Tool> Never Seen Like This !,successful,3.3384147164779456,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Bringing an indoor swim school to Frederick, MD",successful,2.3407719295471,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0
Story Fairy: Art Music & Culinary Experiential Story Time,failed,1.5685269197043072,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0
Bonnvue: Live scenery,failed,4.206700318351066,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Catnip of the Potent Kind,failed,4.45986637663723,4.0,6.0,7.0,8.0,3.0,5.0,2.0,6.0
Hey Produce Apparel,failed,3.268121426920616,6.0,4.0,8.0,6.0,5.0,7.0,4.0,7.0
Librum Prodigiosum,successful,2.4764227885617407,8.0,6.0,9.0,7.0,5.0,4.0,6.0,7.0
Stadiums For Ants,successful,2.5651541271475597,6.0,8.0,9.0,8.0,7.0,8.0,4.0,8.0
Silence,failed,5.1504970418146145,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Purposeful Integration,failed,4.166697913239852,6.0,4.0,7.0,6.0,5.0,3.0,4.0,6.0
SkyscraperFarms,failed,1.8540014031866436,8.0,6.0,9.0,7.0,6.0,8.0,4.0,8.0
A Very Hobbit Adventure,successful,2.977923538007782,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Baby D's Jerky,failed,7.355676018364974,4.0,2.0,6.0,4.0,3.0,5.0,8.0,6.0
DEEP Artist Residency,failed,7.886102312343289,6.0,2.0,7.0,5.0,3.0,4.0,6.0,5.0
The Local 77 Drive-In,failed,4.666970934543131,4.0,2.0,6.0,4.0,3.0,2.0,2.0,6.0
