name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility,staff_pick,prelaunch_activated,video_present,duration_days,prep_time_days
"Let's get ""SWEET"" to Country Radio!",successful,0.5328651455411326,2.0,6.0,4.0,1.0,3.0,2.0,8.0,4.0,0,0,1,9.958333333333334,1.3132060185185186
Michelle Ariane: Bridge the Great Divide-Collaborative Album,successful,0.5949117390373759,6.0,8.0,9.0,7.0,5.0,6.0,4.0,8.0,0,0,1,37.13053240740741,14.14585648148148
"Dog Eyes - a book for life, save the dogs",failed,9.09123021736076,8.0,4.0,7.0,3.0,5.0,2.0,6.0,5.0,0,0,1,60.0,0.09166666666666666
SOU Poetry Team to CUPSI 2k15,successful,0.8471735507706979,6.0,4.0,8.0,2.0,3.0,1.0,6.0,7.0,0,0,1,32.26572916666667,2.7342708333333334
Support Chuckie Campbell at SXSW,successful,1.0418798413632158,6.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,0,0,1,49.153321759259256,5.170775462962963
CAG & Ballet BC: Build a unique art-dance commission,successful,0.5485246757249795,6.0,8.0,7.0,5.0,4.0,6.0,3.0,7.0,1,0,1,45.013761574074074,25.91994212962963
Southeastern Theater of the Oppressed Training,successful,1.0507458302494421,8.0,6.0,9.0,7.0,5.0,4.0,3.0,7.0,0,0,1,30.0,7.498726851851852
Magnesium Dreams - the new album from Emma Hill,successful,0.3609347380388406,6.0,8.0,9.0,7.0,6.0,5.0,4.0,8.0,1,0,1,29.958333333333332,17.44240740740741
Brand New Full Length Album from Jessi McNeal,successful,0.7501732087829072,6.0,4.0,8.0,6.0,7.0,5.0,4.0,8.0,0,0,1,29.06576388888889,320.97216435185186
Friday Football Tailgate,failed,9.481097795084192,6.0,2.0,8.0,6.0,4.0,3.0,2.0,5.0,0,0,1,35.95244212962963,3.424861111111111
Planet Guardians â Enamel Pin Collection,successful,0.592918203431837,4.0,6.0,8.0,7.0,6.0,5.0,3.0,7.0,0,0,0,60.0,93.55371527777778
Apostate Progeny: A YA Space Fantasy Novel,successful,1.8449689505909517,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,30.0,63.82385416666666
Loose Change First Album,failed,9.070274102965568,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,50.0,0.11232638888888889
Blues comes to the Wheatbelt,failed,9.485673685211728,6.0,2.0,7.0,4.0,3.0,5.0,4.0,6.0,0,0,1,25.0,3.5654050925925924
Photographing the Wild Birds of the Eden Estuary,failed,9.655188261442087,6.0,2.0,8.0,4.0,3.0,5.0,4.0,7.0,0,0,0,29.958333333333332,2.9903703703703703
Unshaken: The Knock,failed,8.328895766922424,8.0,6.0,9.0,7.0,5.0,4.0,6.0,8.0,0,0,0,43.14890046296296,0.05628472222222222
Snuzzywoo,failed,9.358187943312581,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0,0,1,1,60.0,12.416712962962963
The Pumpkin Blues,failed,9.65239310061993,4.0,6.0,8.0,7.0,5.0,6.0,4.0,6.0,0,0,1,33.0,0.31375
NEW Studio Album by Nick Arthur,failed,4.789143375359082,6.0,4.0,8.0,6.0,5.0,4.0,3.0,7.0,0,0,1,40.0,44.883854166666666
Boys Don't Do That,failed,9.662811535813525,6.0,2.0,8.0,7.0,4.0,3.0,2.0,6.0,0,0,1,60.0,0.02599537037037037
Triforce of Power Long Sleeve Shirt,successful,0.8738634404924894,2.0,4.0,6.0,5.0,3.0,2.0,2.0,6.0,0,0,0,31.0,5.154872685185185
â¡ Hello Empress T-shirts â¡ by JGF,successful,0.5221642344399124,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0,0,1,0,25.0,30.339027777777776
Year 1: Renegade â Guardian Angel Academy Special Edition,successful,0.26498043336068866,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,31.45665509259259,106.04130787037037
Stars of the Show,successful,0.5346858827348655,6.0,8.0,9.0,7.0,5.0,4.0,2.0,8.0,0,1,1,16.63824074074074,12.627361111111112
"Journey to the Northernmost American City: Barrow, Alaska",failed,9.380231044213085,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,0.5989467592592592
Rescue our hearts- Pets are family too,failed,9.297189311839213,6.0,2.0,8.0,6.0,4.0,5.0,6.0,7.0,0,0,0,24.849756944444444,5.2716666666666665
The Woofpack - Beautiful dog photography,failed,9.255005689778693,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,14.0,2.077939814814815
Blythe Gamble's First Studio Record,failed,3.7368033397241884,6.0,8.0,9.0,7.0,4.0,3.0,2.0,8.0,0,0,1,30.0,2.853784722222222
Learning Guitar Video Series,failed,9.670416432547421,6.0,2.0,7.0,4.0,3.0,5.0,8.0,6.0,0,0,0,60.0,0.8981944444444444
Wayfinder Project â New Earth Nomads: A Journey of Freedom,failed,8.317109061526914,2.0,1.0,6.0,4.0,2.0,3.0,8.0,4.0,0,0,1,60.0,2.9407870370370373
imagINN: A magical hotel where kids explore emotions,failed,9.833255308758853,8.0,6.0,9.0,8.0,7.0,8.0,4.0,8.0,0,0,0,60.0,0.07297453703703703
Happy 100th Anniversary Winnie-The-Pooh!,failed,9.609702700432942,6.0,8.0,9.0,6.0,7.0,5.0,4.0,8.0,0,0,1,60.0,18.833657407407408
Bu(n)tter: On the GO!,successful,1.2885913311996877,4.0,6.0,8.0,7.0,5.0,4.0,3.0,6.0,0,1,0,21.0,20.054270833333334
NOMATIC Outset Apparel Collection,successful,0.7702922315016225,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1,0,1,30.291087962962962,20.766018518518518
Before Crown and Kingdom Deluxe Limited Edition Hardcover,successful,0.14036130388161427,2.0,8.0,9.0,6.0,4.0,5.0,3.0,7.0,1,1,0,21.0,97.73229166666667
California's Invasive War,failed,9.415788422654158,8.0,6.0,9.0,7.0,8.0,6.0,4.0,7.0,0,0,1,30.0,142.6155787037037
Elephants in America need your voice,failed,9.63865004695892,6.0,4.0,8.0,6.0,7.0,5.0,4.0,7.0,0,0,1,60.0,53.73707175925926
Red Fall Studio,failed,9.14064105321877,4.0,6.0,7.0,5.0,6.0,8.0,4.0,7.0,0,0,0,29.958333333333332,135.6543287037037
Introducing ON! Fire Gourmet Pepper Sauce/Cooking Sauce,successful,0.7494143438850354,6.0,4.0,8.0,7.0,6.0,5.0,3.0,7.0,1,0,1,36.0,4.787581018518519
"Masala Wala Chai: Authentic, Delicious, Divine!",successful,0.5977190400186638,6.0,7.0,8.0,8.0,5.0,6.0,4.0,7.0,1,1,1,35.0,8.031851851851853
Noam Easter Bunny,failed,9.718325371736977,4.0,2.0,6.0,5.0,3.0,2.0,8.0,4.0,0,0,1,60.041666666666664,2.045162037037037
Blues Gone Cyber - taking Chicago Blues online,failed,9.484658233275173,6.0,4.0,7.0,5.0,3.0,6.0,4.0,7.0,0,0,0,59.958333333333336,2.2676736111111113
Run With Patience..Run To Europe,failed,9.63946058756681,2.0,1.0,3.0,2.0,1.0,1.0,8.0,4.0,0,0,1,60.0,110.88667824074074
"Michael Vance Trio ""Watertown Red"" Album",failed,8.94918229967345,2.0,1.0,6.0,2.0,1.0,1.0,2.0,4.0,0,0,1,30.0,257.38827546296295
Hu Tao Hoodie + Shirt - Genshin Impact Streetwear Collection,successful,0.7399595430607986,6.0,8.0,9.0,7.0,8.0,6.0,4.0,7.0,0,0,0,30.0,5.928414351851852
Chairman Tiberius Meow Calendar,failed,9.316325848231092,2.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0,0,0,0,18.03494212962963,0.07990740740740741
Farm Animal Rescues,failed,9.56024566977144,4.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0,0,0,0,30.0,2.1743402777777776
Connecting Heartfires: YA dragon high fantasy duology,successful,0.4492664321592921,2.0,6.0,8.0,4.0,7.0,5.0,3.0,6.0,0,1,1,30.0,59.45710648148148
John Thomas Draper's Debut Blues/Roots CD,failed,6.056367620388315,2.0,1.0,3.0,2.0,1.0,2.0,8.0,4.0,0,0,1,40.0,1.0665162037037037
I Didn't Know Her Name Video Production Launch,failed,6.8830764881743285,6.0,2.0,8.0,4.0,3.0,2.0,2.0,5.0,0,0,0,30.0,5.013958333333333
"Tom Turner and Slow Burn-(self titled, debut album)",failed,7.977063706289532,4.0,6.0,8.0,5.0,3.0,2.0,2.0,6.0,0,0,1,29.879178240740742,197.86784722222222
One Big Hoodie - The ethical giant hoodie for everyone,successful,1.534570874200345,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,0,0,1,45.0,0.08342592592592593
The Amazing Story of Tony Oliva - A Children's Book,successful,0.2518680627744274,8.0,9.0,8.0,6.0,7.0,8.0,4.0,8.0,1,1,1,34.73675925925926,211.41953703703703
Beadies | Educational Cartoons,failed,6.3039897585873526,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0,0,0,1,30.0,99.22722222222222
PeaceOfMind - Securing Family Memories & Connections,failed,8.852667588885586,8.0,2.0,9.0,6.0,7.0,5.0,4.0,6.0,0,1,1,45.0,186.76913194444444
Winnie The Pooh & Friends,failed,6.097184082999663,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0,0,1,1,60.0,161.63979166666667
The Mike Vande Band's First CD,failed,6.828856688605814,2.0,6.0,8.0,4.0,2.0,3.0,4.0,6.0,0,0,1,30.0,12.362893518518518
English Bulldog Calendar,failed,9.212689134587142,2.0,0.0,6.0,4.0,2.0,0.0,1.0,2.0,0,0,0,30.0,2.992465277777778
reConnecting - A Short Film About Family,failed,4.424282919540684,6.0,2.0,8.0,4.0,3.0,2.0,4.0,6.0,0,0,1,15.0,16.237337962962965
Hero Ita Bags by VulpeGalaxy,successful,0.3110871784990499,2.0,4.0,6.0,5.0,4.0,3.0,6.0,5.0,0,1,0,32.457453703703706,8.745717592592593
Animals of the World,failed,9.362060038103383,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,4.0869328703703705
The John Wayne Dreamer.,failed,9.268045384963399,6.0,4.0,8.0,6.0,4.0,5.0,3.0,7.0,0,0,1,33.0,12.072662037037038
Wild Game Oberservations,failed,9.785064907119349,4.0,2.0,6.0,4.0,3.0,2.0,8.0,4.0,0,0,0,60.0,2.0321296296296296
Adventures of Gary,failed,9.663323424945833,2.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,0,0,0,30.0,3.1950694444444445
The Lochlann Feuds Completed Series - Collector's Editions,successful,0.1840879460742928,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,17.62449074074074,35.90428240740741
Novel: The Soul and the Fangs,successful,0.6895230855771373,2.0,1.0,6.0,4.0,3.0,2.0,8.0,4.0,0,0,1,27.433958333333333,8.913101851851852
Gateway Space Opera Book Series,successful,0.5785492106229584,2.0,8.0,6.0,4.0,3.0,2.0,2.0,4.0,0,1,0,15.0,14.004872685185186
Air! The Movie,failed,4.6905205556713305,6.0,7.0,8.0,6.0,5.0,4.0,3.0,7.0,0,0,1,29.958333333333332,13.067777777777778
FamJam Overland,failed,9.543610913305711,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,54.67912037037037,21.29221064814815
Eco Swim Co: A Sustainable Swimwear Brand,successful,1.5209364421015503,6.0,4.0,7.0,6.0,3.0,5.0,4.0,6.0,0,0,1,30.0,1.7895949074074073
Combining the elegance of leather with casualness!,successful,1.6021991677318137,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0,0,0,0,15.0,2.0497453703703705
Pet-mail,failed,8.893872282000833,4.0,2.0,6.0,5.0,4.0,3.0,2.0,6.0,0,0,0,19.136261574074073,19.683310185185185
Holy Pepperoni - New Live-Action Children's Show,failed,5.263017367373233,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,40.041666666666664,2.8463541666666665
Cute Black and Gold Cats Enamel Pin Set,successful,4.28863369857,6.0,7.0,8.0,6.0,8.0,7.0,4.0,8.0,0,0,1,35.993969907407404,2.9884953703703703
Tristan RÃ©hel - Ready-To-Wear Capsule 001,successful,1.1428753170836858,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,0,30.0,3.227013888888889
Velora Organic Jars : The Return,successful,1.1359014744936091,6.0,4.0,8.0,7.0,5.0,6.0,3.0,7.0,0,0,0,30.0,5.633148148148148
Camera To Photograph a Cat,failed,9.479486037923444,2.0,0.0,4.0,2.0,1.0,1.0,9.0,2.0,0,0,1,29.99971064814815,2.235428240740741
Puppy Cuddles,failed,9.643919789044014,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0,0,0,0,30.0,0.46924768518518517
Capoeira x M:3 by Trankilo,failed,6.2911051076076046,6.0,4.0,8.0,6.0,5.0,7.0,4.0,7.0,0,1,1,30.0,2386.7273263888887
The Legacy,successful,0.21726634874121853,4.0,6.0,8.0,6.0,7.0,8.0,4.0,7.0,0,1,0,14.000081018518518,37.531527777777775
Velcorian: A new standard for cutting boards,successful,0.5691319842739317,8.0,9.0,9.0,8.0,7.0,6.0,2.0,8.0,0,1,1,30.253645833333334,11.430057870370371
Wildlife Awareness,failed,9.75699064634086,8.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0,0,0,0,60.0,1.8141666666666667
Dark Reign: Kickstarter Exclusive Illustrated Hardbacks,successful,0.8545392827090992,2.0,6.0,8.0,7.0,4.0,3.0,2.0,6.0,0,1,0,21.0,35.09986111111111
Zack Anderson: La Luz del Infierno,successful,1.1802228138017756,4.0,2.0,8.0,6.0,4.0,5.0,3.0,7.0,0,0,1,23.0,64.05993055555555
Academy of the Six :a PNR academia romance hardback foil set,successful,0.6158663891235827,2.0,1.0,6.0,4.0,3.0,2.0,8.0,4.0,1,1,1,23.998425925925925,133.16363425925925
Pierre's Part,failed,8.977656144385556,2.0,1.0,4.0,2.0,1.0,1.0,8.0,3.0,0,0,1,60.0,14.798217592592593
Cashvilleetc Flagship Store,successful,0.6218990901860555,6.0,4.0,7.0,6.0,5.0,4.0,3.0,6.0,0,0,0,14.06775462962963,188.1487615740741
Goblinauts,successful,1.939914376780254,2.0,6.0,8.0,4.0,3.0,2.0,2.0,6.0,1,1,0,21.0,29.05641203703704
The Collective: A Post Apocalyptic Thriller Special Edition,successful,1.1405767217290796,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,23.114386574074075,116.00364583333334
The Ultimate Surprise Show,failed,9.433829704102406,4.0,2.0,6.0,5.0,3.0,2.0,2.0,4.0,0,0,1,49.03333333333333,11.114398148148148
Island of Lost Girls,failed,7.577690655436388,2.0,8.0,6.0,4.0,2.0,3.0,2.0,6.0,0,0,1,34.33467592592593,5.08744212962963
Creating fun videos to help kids learn to read,failed,9.31218522205975,6.0,4.0,8.0,6.0,5.0,4.0,4.0,6.0,0,0,1,30.0,15.12630787037037
Xentropa Apparel Accessories,successful,1.0308684658066136,6.0,2.0,8.0,6.0,4.0,3.0,2.0,6.0,0,0,1,30.0,291.9354861111111
Magical Sailor Moon Mushrooms Series 2 Enamel Pin Collection,successful,0.41192498535242095,2.0,4.0,8.0,6.0,7.0,5.0,4.0,6.0,0,1,0,30.0,5.1023958333333335
The Witchling Trilogy: Limited Edition Fantasy Hardcovers,successful,1.1427112315823895,6.0,8.0,9.0,8.0,7.0,6.0,4.0,7.0,0,1,1,14.0,57.554525462962964
Special Bestiary Edition of the Frith Chronicles [Books 3-4],successful,0.22220442918088446,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0,1,1,1,21.288969907407406,57.49666666666667
Kitsune Love Enamel Pins Part 2,successful,0.6023160393556914,6.0,7.0,8.0,6.0,7.0,5.0,4.0,7.0,0,1,0,30.0,11.039293981481482
"Design Your Own Leather Bag: Your Style, Your Way #Upgraded",successful,1.0535685348667045,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,0,14.0,5.1040625
Quickstarter: KeyVoilÃ  - Grab your keys,successful,0.34712635890029486,6.0,7.0,8.0,6.0,5.0,4.0,3.0,7.0,1,1,1,30.0,28.323888888888888
The Original Automatic Swiss Movement Watch,successful,2.923918203046961,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,31.0,328.8017361111111
"Little Girl Revival Zine Joy, Creativity, & Self-discovery",successful,2.1577069233921065,6.0,2.0,8.0,6.0,4.0,5.0,3.0,6.0,0,0,0,30.0,6.241145833333333
'Doctor Who' Challenge Coins: Series 1 Wave 4,successful,0.587882137670126,2.0,6.0,8.0,4.0,5.0,3.0,2.0,6.0,0,0,1,14.0,29.317314814814814
"Windy Wilds 78 Cards, Handmade Tarot Sized 12x7cm/2.7x4.75in",successful,1.4748280130790115,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,1,59.958333333333336,0.4207986111111111
"Mad Flora: A Free-Spirited, Spirit-Free Amaro",successful,0.5474433045906002,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.54611111111111,27.009652777777777
The Adventures Of Tom McGuire TV Series/Film,failed,7.306690560541398,6.0,4.0,8.0,7.0,5.0,3.0,2.0,6.0,0,1,1,40.0,139.22650462962963
What the frog?! enamel pins,successful,0.2905800131078029,6.0,4.0,8.0,6.0,7.0,5.0,3.0,7.0,0,1,0,15.0,10.494270833333333
Bring Pixel Peppers' Retro Hot Sauces to Reality!,successful,0.8735141776926203,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.0,7.0409375
THE PRIMAL BIRTH COURSE,failed,7.40700359251811,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,26.706875
Help Hot Box Pretzels Ship Nation Wide!,successful,0.6929967383262636,6.0,7.0,8.0,6.0,5.0,7.0,4.0,8.0,1,0,1,30.0,5.518576388888889
Summa Salts Herb and Pepper Infused Salts,successful,1.15316516306332,4.0,2.0,8.0,6.0,4.0,5.0,3.0,7.0,1,0,1,30.0,86.71962962962964
Silo's Fermentation Factory,successful,1.0253117098438136,8.0,6.0,9.0,7.0,5.0,8.0,4.0,8.0,1,1,1,30.0,39.03332175925926
Honeymoon from Hell: the complete urban fantasy series.,successful,0.7132398284000319,2.0,1.0,8.0,6.0,2.0,1.0,4.0,3.0,0,1,1,33.0,33.90177083333333
'Art of Chaos: The Prologue' | Graphic Novel,successful,1.2356252246541322,4.0,6.0,8.0,5.0,4.0,3.0,2.0,6.0,0,0,1,30.0,1.9085185185185185
Adventures With Pappy TV Series,failed,9.166565527503485,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,60.0,57.19618055555556
Wisteria Embroidered Hoodie Designed by Tsumomoca,successful,0.7446293958006323,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0,0,0,0,59.958333333333336,8.466585648148149
Eco-Magical Patented Modular Shoes for Gamechangers,successful,0.4898546527730163,6.0,4.0,8.0,7.0,5.0,6.0,3.0,7.0,1,1,1,49.958333333333336,114.3933912037037
NAP : The First All Natural Sleep Iced Tea,successful,0.968992719605023,8.0,6.0,9.0,7.0,5.0,8.0,4.0,7.0,0,1,1,30.0,79.97907407407408
Hey Bagel Equipment,successful,0.6211886387740162,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,30.0,39.27824074074074
Demon Tide,successful,0.6810872091623688,6.0,4.0,8.0,6.0,5.0,3.0,4.0,6.0,0,1,1,30.0,859.4148495370371
Rise of the Raidin: Graphic Novel Volume 1,successful,0.5431828473566569,6.0,8.0,9.0,7.0,6.0,5.0,4.0,8.0,0,1,1,21.0,197.3347222222222
TRE AMICHE SUL GHIACCIO by Mathilde Bonetti,failed,9.686720617859223,4.0,2.0,6.0,5.0,3.0,4.0,6.0,5.0,0,0,1,30.0,0.2480324074074074
Raising Backyard Chickens Video Course,failed,6.388372732713281,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,31.0,156.49211805555555
"Daddy Cant Dance, Film, rated PG, 1 hr 47mins, Dove Awarded",failed,9.56766600032963,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,60.041666666666664,46.50296296296296
Sydney's Local Organic Deli & Market Expansion!,failed,9.12570444629495,4.0,2.0,6.0,5.0,3.0,4.0,2.0,6.0,0,0,0,35.00716435185185,17.996944444444445
Our Orchard,failed,9.622304229398619,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0,0,0,0,60.0,73.63513888888889
ART OF PARTS: A revolutionary new way to make and buy art.,failed,5.1366647062075526,6.0,4.0,8.0,7.0,6.0,5.0,3.0,7.0,0,0,1,30.0,252.11230324074074
Interpreting Words,failed,8.99869081261881,2.0,3.0,4.0,3.0,2.0,3.0,8.0,6.0,0,0,0,19.958333333333332,0.09
100 Days of Hozier: The Gallery,failed,4.789349249965433,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,29.958333333333332,6.448657407407407
Building Soup: A Manual with Recipes and Techniques,successful,0.29050956835776853,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,25.792974537037036,15.641111111111112
The Forest Underground: Hope for a Planet in Crisis,successful,0.4047581129354849,6.0,2.0,8.0,4.0,3.0,2.0,4.0,6.0,1,1,1,40.041666666666664,62.908738425925925
vendingEDUCATION Fundraiser,failed,9.549280619536919,6.0,2.0,8.0,6.0,4.0,3.0,2.0,6.0,0,0,0,29.958333333333332,0.0505787037037037
Fight Club [Soap] Project for Men & Women,failed,9.699203018599235,6.0,2.0,7.0,4.0,3.0,5.0,4.0,6.0,0,0,0,30.0,1.1857986111111112
FILOSOFÃA SALVAJE,successful,3.3583378115589424,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,60.01138888888889,35.930729166666666
MERCADO TAMPA // Pop-up Retail Made From Shipping Containers,failed,5.5154936817476194,8.0,4.0,9.0,7.0,6.0,8.0,4.0,7.0,0,0,1,33.041666666666664,9.082280092592592
Farmstead Artisan Cheese...White River Creamery,failed,5.125087693087348,9.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0,0,0,1,30.041666666666668,24.12670138888889
Catawampus Creations,failed,5.275653381082051,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,30.0,138.08832175925926
Dear Mister Ward: Complaint Letters from the 1930s,successful,0.37453764631175,6.0,4.0,8.0,6.0,5.0,4.0,4.0,7.0,1,0,1,30.0,3.9150578703703705
Holy Cow Body Care,failed,9.05230915476624,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,1,7.0,0.13152777777777777
Fresh Fish Straight Out The Water,failed,9.69458689032449,2.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,0,0,0,30.0,0.8019791666666667
Taller Casa Verde,failed,9.673604763385894,6.0,4.0,7.0,5.0,3.0,6.0,4.0,6.0,0,0,1,30.0,4.843067129629629
The Wild West Chilli Co,failed,9.356647917432094,6.0,4.0,7.0,5.0,6.0,5.0,4.0,7.0,0,0,0,30.0,5.123819444444444
Art Alive,failed,9.523584894048525,8.0,3.0,8.0,7.0,6.0,6.0,2.0,8.0,0,0,0,28.0,3.9675462962962964
Hidden Life,failed,9.709885373036268,4.0,2.0,6.0,4.0,3.0,2.0,8.0,6.0,0,0,0,30.0,8.06369212962963
Greek Myths That Inspired Final Fantasy VII,successful,0.1923208978048152,8.0,9.0,9.0,8.0,7.0,8.0,2.0,9.0,1,1,1,30.0,137.76899305555557
Discovering Your Personal Daimon,successful,0.654992803175436,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,1,59.76810185185185,1.8541319444444444
Hard Earned Lessons Learned,successful,1.3972007194261082,6.0,2.0,8.0,4.0,3.0,5.0,4.0,6.0,0,0,0,21.020243055555557,2.9906712962962962
CARDSMANIA,successful,0.7606175690343175,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,50.0,278.85108796296294
